datamart_id	dataset_id	dataset_name	dataset_description	dataset_url	variable_id	variable_name	variable_description
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-1041	"FAO: Emissions (N2O) (Crop residues), Oats[gigagrams]"	"FAO: Emissions (N2O) (Crop residues), Oats[gigagrams]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-1042	"FAO: Emissions (N2O) (Crop residues), Potatoes[gigagrams]"	"FAO: Emissions (N2O) (Crop residues), Potatoes[gigagrams]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-1043	"FAO: Emissions (N2O) (Crop residues), Rice, paddy[gigagrams]"	"FAO: Emissions (N2O) (Crop residues), Rice, paddy[gigagrams]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-1044	"FAO: Emissions (N2O) (Crop residues), Sorghum[gigagrams]"	"FAO: Emissions (N2O) (Crop residues), Sorghum[gigagrams]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-1045	"FAO: Emissions (N2O) (Crop residues), Soybeans[gigagrams]"	"FAO: Emissions (N2O) (Crop residues), Soybeans[gigagrams]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-1046	"FAO: Emissions (N2O) (Crop residues), Wheat[gigagrams]"	"FAO: Emissions (N2O) (Crop residues), Wheat[gigagrams]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-1047	"FAO: Emissions (N2O) (Manure applied), All Animals[gigagrams]"	"FAO: Emissions (N2O) (Manure applied), All Animals[gigagrams]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-1048	"FAO: Emissions (N2O) (Manure applied), Asses[gigagrams]"	"FAO: Emissions (N2O) (Manure applied), Asses[gigagrams]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-1049	"FAO: Emissions (N2O) (Manure applied), Camels[gigagrams]"	"FAO: Emissions (N2O) (Manure applied), Camels[gigagrams]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-105	"FAO: Value US$, 2005 prices, Value Added (Manufacture of tobacco products)[millions]"	"FAO: Value US$, 2005 prices, Value Added (Manufacture of tobacco products)[millions]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-1050	"FAO: Emissions (N2O) (Manure applied), Camels and Llamas[gigagrams]"	"FAO: Emissions (N2O) (Manure applied), Camels and Llamas[gigagrams]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-1051	"FAO: Emissions (N2O) (Manure applied), Cattle[gigagrams]"	"FAO: Emissions (N2O) (Manure applied), Cattle[gigagrams]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-1052	"FAO: Emissions (N2O) (Manure applied), Cattle, dairy[gigagrams]"	"FAO: Emissions (N2O) (Manure applied), Cattle, dairy[gigagrams]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-1053	"FAO: Emissions (N2O) (Manure applied), Cattle, non-dairy[gigagrams]"	"FAO: Emissions (N2O) (Manure applied), Cattle, non-dairy[gigagrams]"
